tax_id,invoice_id,tax_date,tax_type,tax_rate,base_amount,tax_amount,description
TAX001,INV9002,2026-08-06,GST,12.0,11758.37,1411.0,GST on service delivery for Customer2
TAX002,INV9005,2026-08-02,VAT,15.0,17178.7,2576.8,VAT on goods sold for Customer5
TAX003,INV9007,2026-08-05,Income_Tax,10.0,9341.5,934.15,TDS on payment for Customer7
TAX004,INV9009,2026-08-15,GST,18.0,7617.72,1371.19,GST on service delivery for Customer9
TAX005,INV9011,2026-08-15,GST,12.0,13829.18,1659.5,GST on service delivery for Customer11
TAX006,INV9013,2026-08-03,VAT,15.0,8477.96,1271.69,VAT on goods sold for Customer13
TAX007,INV9015,2026-08-16,Income_Tax,10.0,13849.98,1385.0,TDS on payment for Customer15
TAX008,INV9017,2026-08-03,GST,18.0,16525.15,2974.53,GST on service delivery for Customer17
TAX009,INV9019,2026-08-05,GST,12.0,1790.68,214.88,GST on service delivery for Customer19
TAX010,INV9021,2026-08-08,VAT,15.0,8214.82,1232.22,VAT on goods sold for Customer21
TAX011,INV9023,2026-08-03,Income_Tax,10.0,5665.16,566.52,TDS on payment for Customer23
TAX012,INV9025,2026-08-09,GST,18.0,18007.55,3241.36,GST on service delivery for Customer25
TAX013,INV9027,2026-08-03,GST,12.0,10435.76,1252.29,GST on service delivery for Customer27
TAX014,INV9029,2026-08-14,VAT,15.0,2535.09,380.26,VAT on goods sold for Customer29
TAX015,INV9031,2026-08-10,Income_Tax,10.0,1738.79,173.88,TDS on payment for Customer31
TAX016,INV9033,2026-08-10,GST,18.0,5402.58,972.46,GST on service delivery for Customer33
TAX017,INV9035,2026-08-12,GST,12.0,2733.76,328.05,GST on service delivery for Customer35
TAX018,INV9037,2026-08-06,VAT,15.0,2675.27,401.29,VAT on goods sold for Customer37
TAX019,INV9039,2026-08-01,Income_Tax,10.0,14353.42,1435.34,TDS on payment for Customer39
TAX020,INV9042,2026-08-15,GST,18.0,12693.35,2284.8,GST on service delivery for Customer42
TAX021,INV9044,2026-08-13,GST,12.0,3645.02,437.4,GST on service delivery for Customer44
TAX022,INV9046,2026-08-15,VAT,15.0,7578.12,1136.72,VAT on goods sold for Customer46
TAX023,INV9048,2026-08-04,Income_Tax,10.0,17621.19,1762.12,TDS on payment for Customer48
TAX024,INV9051,2026-08-14,GST,18.0,2760.65,496.92,GST on service delivery for Customer51
TAX025,INV9053,2026-08-09,GST,12.0,17512.44,2101.49,GST on service delivery for Customer53
TAX026,INV9055,2026-08-07,VAT,15.0,19305.08,2895.76,VAT on goods sold for Customer55
